"","status_id","hashtags","nextid","nexttag"
"1","1193159460077748224","fuzzystatus","1193159460077748224","igersitalia"
"2","1193159460077748224","igersitalia","1193159460077748224","massimovolontefotografo"
"3","1193159460077748224","massimovolontefotografo","1193159460077748224","iphone8"
"4","1193159460077748224","iphone8","1193159460077748224","photography"
"5","1193159460077748224","photography","1193159460077748224","graffiti"
"6","1193159460077748224","graffiti","1193159460077748224","loneliness"
"7","1193159460077748224","loneliness","1193159460077748224","monochrome"
"8","1193159460077748224","monochrome","1190417991407734784",NA
"9","1190417991407734784","fuzzystatus","1190417991407734784","igersitalia"
"10","1190417991407734784","igersitalia","1190417991407734784","massimovolontefotografo"
"11","1190417991407734784","massimovolontefotografo","1190417991407734784","iphone8"
"12","1190417991407734784","iphone8","1190417991407734784","photography"
"13","1190417991407734784","photography","1190417991407734784","graffiti"
"14","1190417991407734784","graffiti","1190417991407734784","loneliness"
"15","1190417991407734784","loneliness","1192428501716160512",NA
"16","1192428501716160512","fuzzystatus","1192428501716160512","igersitalia"
"17","1192428501716160512","igersitalia","1192428501716160512","massimovolontefotografo"
"18","1192428501716160512","massimovolontefotografo","1192428501716160512","iphone8"
"19","1192428501716160512","iphone8","1192428501716160512","photography"
"20","1192428501716160512","photography","1192428501716160512","graffiti"
"21","1192428501716160512","graffiti","1192428501716160512","loneliness"
"22","1192428501716160512","loneliness","1192428501716160512","monochrome"
"23","1192428501716160512","monochrome","1190939177208041472",NA
"24","1190939177208041472","pbloggers","1190939177208041472","loneliness"
"25","1190939177208041472","loneliness","1192041442258149377",NA
"26","1192041442258149377","pbloggers","1192041442258149377","loneliness"
"27","1192041442258149377","loneliness","1191309115395579904",NA
"28","1191309115395579904","pbloggers","1191309115395579904","loneliness"
"29","1191309115395579904","loneliness","1190561687465857029",NA
"30","1190561687465857029","pbloggers","1190561687465857029","loneliness"
"31","1190561687465857029","loneliness","1192788865414815745",NA
"32","1192788865414815745","pbloggers","1192788865414815745","loneliness"
"33","1192788865414815745","loneliness","1191679050772893699",NA
"34","1191679050772893699","pbloggers","1191679050772893699","loneliness"
"35","1191679050772893699","loneliness","1193158809910435841",NA
"36","1193158809910435841","pbloggers","1193158809910435841","loneliness"
"37","1193158809910435841","loneliness","1192418927034408966",NA
"38","1192418927034408966","pbloggers","1192418927034408966","loneliness"
"39","1192418927034408966","loneliness","1190184201791975424",NA
"40","1190184201791975424","pbloggers","1190184201791975424","loneliness"
"41","1190184201791975424","loneliness","1193158100259409925",NA
"42","1193158100259409925","betterlyf","1193158100259409925","mentalhealth"
"43","1193158100259409925","mentalhealth","1193158100259409925","loneliness"
"44","1193158100259409925","loneliness","1193154784330735616",NA
"45","1193154784330735616","PSIConf19","1193154784330735616","loneliness"
"46","1193154784330735616","loneliness","1192756402936254467",NA
"47","1192756402936254467","nans4grans","1192756402936254467","olderpeople"
