date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-12-25 23:01:06,SarahMillican75,GarethBerliner,0,0,4,"Long gone, mate. Long gone.",,,,1077700794990907392,https://twitter.com/SarahMillican75/status/1077700794990907392
2018-12-25 21:32:27,SarahMillican75,cakesmyth,1,0,9,You were all a pleasure to watch. So thank you xx,,,,1077678484925878273,https://twitter.com/SarahMillican75/status/1077678484925878273
2018-12-25 21:22:03,SarahMillican75,,258,717,10864,A big thank you to everyone who has contributed to #joinin today. It is nothing without you. Sending lots of love to those of you who found today hard. I hope the smashers of #joinin helped in some small way. I am lighting a candle for all of those you’ve lost.pic.twitter.com/KFv9TAA2h9,,,#joinin #joinin,1077675867055276032,https://twitter.com/SarahMillican75/status/1077675867055276032
2018-12-25 21:15:57,SarahMillican75,,1,0,15,"@cakesmyth I was rooting for you, pet but very happy @Janebbakes won! Xxx",,@cakesmyth @Janebbakes,,1077674332527169536,https://twitter.com/SarahMillican75/status/1077674332527169536
2018-12-25 20:32:45,SarahMillican75,,70,28,1985,Watching @BritishBakeOff over the top of a very cuddly dog. #joininpic.twitter.com/WwsWHTWGlZ,,@BritishBakeOff,#joininpic,1077663461293867008,https://twitter.com/SarahMillican75/status/1077663461293867008
2018-12-25 20:27:10,SarahMillican75,Lucyspeed,0,0,1,So many excellent jumpers #joinin,,,#joinin,1077662055551905792,https://twitter.com/SarahMillican75/status/1077662055551905792
2018-12-25 20:00:49,SarahMillican75,,44,7,355,Bake Off! Ch4 now. #joinin,,,#joinin,1077655423128403969,https://twitter.com/SarahMillican75/status/1077655423128403969
2018-12-25 19:57:12,SarahMillican75,mrjon1976,1,0,0,Very kind of you. X,,,,1077654511546712064,https://twitter.com/SarahMillican75/status/1077654511546712064
2018-12-25 19:56:44,SarahMillican75,reed_mat,0,0,1,"And to you, lovely. X",,,,1077654397792997379,https://twitter.com/SarahMillican75/status/1077654397792997379
2018-12-25 19:55:39,SarahMillican75,reed_mat,1,1,27,Sending love,,,,1077654123590402053,https://twitter.com/SarahMillican75/status/1077654123590402053
2018-12-25 19:41:24,SarahMillican75,mrjon1976,1,0,5,"Thank you so much for sharing this with us. You’re so strong. If you haven’t read @matthaig1’s book Reasons to Stay Alive, I recommend it. Well done on all of the work you’ve done on yourself and on inspiring others to see their worth too. Much love. #joinin x",,@matthaig1,#joinin,1077650535107444736,https://twitter.com/SarahMillican75/status/1077650535107444736
2018-12-25 19:32:04,SarahMillican75,starsandskates,0,0,1,Haha. Smart. #joinin,,,#joinin,1077648187467460610,https://twitter.com/SarahMillican75/status/1077648187467460610
2018-12-25 19:30:46,SarahMillican75,starsandskates,1,0,3,You must have good teeth. #joinin,,,#joinin,1077647859573551107,https://twitter.com/SarahMillican75/status/1077647859573551107
2018-12-25 19:30:23,SarahMillican75,,27,5,374,I might have a nap before Christmas @BritishBakeOff. Dog is like a hot water bottle. #joininpic.twitter.com/MOWmV7lmeQ,,@BritishBakeOff,#joininpic,1077647765117812736,https://twitter.com/SarahMillican75/status/1077647765117812736
2018-12-25 19:26:02,SarahMillican75,danthesith,0,0,1,Thanks Dan x,,,,1077646670849077251,https://twitter.com/SarahMillican75/status/1077646670849077251
2018-12-25 19:21:25,SarahMillican75,BigPictureLivin,1,2,17,"Sending love, Sharon. #joinin",,,#joinin,1077645506246074370,https://twitter.com/SarahMillican75/status/1077645506246074370
2018-12-25 19:20:25,SarahMillican75,Cage_Nerd,1,0,9,Adorable. Happy Christmas Nanar! #joinin,,,#joinin,1077645257624506368,https://twitter.com/SarahMillican75/status/1077645257624506368
2018-12-25 19:18:38,SarahMillican75,goodmaz_maria,0,0,5,I’m *so* proud of you. #joininpic.twitter.com/nUQtVx4As8,,,#joininpic,1077644807625945089,https://twitter.com/SarahMillican75/status/1077644807625945089
2018-12-25 19:18:03,SarahMillican75,FionaRhiannon,1,0,4,Good lass. I like those ones too. My husband doesn’t. #joininpic.twitter.com/XDbo3ugmiN,,,#joininpic,1077644661567733760,https://twitter.com/SarahMillican75/status/1077644661567733760
2018-12-25 19:16:23,SarahMillican75,HMSACharity,6,3,65,"It’s 8 o’clock somewhere, right? #joinin",,,#joinin,1077644242686787584,https://twitter.com/SarahMillican75/status/1077644242686787584
2018-12-25 19:15:28,SarahMillican75,meliamartin_,0,0,6,Never alone. X #joinin,,,#joinin,1077644008934031361,https://twitter.com/SarahMillican75/status/1077644008934031361
2018-12-25 19:14:46,SarahMillican75,CharleyNicholls,0,0,2,Well done Charley. You did it. #joinin,,,#joinin,1077643834853650433,https://twitter.com/SarahMillican75/status/1077643834853650433
2018-12-25 19:12:34,SarahMillican75,PuiakaPanda,0,0,5,Hello from the UK! Paddington is a great film. The sequel is too. #joinin x,,,#joinin,1077643279527788551,https://twitter.com/SarahMillican75/status/1077643279527788551
2018-12-25 19:11:52,SarahMillican75,lisaanngregg,1,0,8,Have you been shopping in Kangaroos? #pouches #joininpic.twitter.com/DzUS8pxEgA,,,#pouches #joininpic,1077643102783967233,https://twitter.com/SarahMillican75/status/1077643102783967233
2018-12-25 19:08:34,SarahMillican75,,3,30,140,"If you need a laugh, here is a BEST OF our chats with ace funny women featuring @ferrifrump @thelizcarr @destheray @Jo_Caulfield @scummymummies #RuthJones, @Roisinconaty @Sianygibby @BridgetChristie & more plus me & the @StandardIssueUK team. https://play.acast.com/s/standardissuespodcast/simep177-2018gigcastcompilation?autoplay … #joinin",,@ferrifrump @thelizcarr @destheray @Jo_Caulfield @scummymummies @Roisinconaty @Sianygibby @BridgetChristie @StandardIssueUK,#RuthJones #joinin,1077642274446761984,https://twitter.com/SarahMillican75/status/1077642274446761984
2018-12-25 18:59:55,SarahMillican75,,18,213,840,"If anyone needs a mental health pick me up, this half hour chat with brilliant writer @matthaig1 is easily consumed and a good help. https://aca.st/23c913 @StandardIssueUK #joinin",,@matthaig1 @StandardIssueUK,#joinin,1077640095530921984,https://twitter.com/SarahMillican75/status/1077640095530921984
2018-12-25 18:43:27,SarahMillican75,BeardedGenius,2,0,4,Thanks x,,,,1077635953311789056,https://twitter.com/SarahMillican75/status/1077635953311789056
2018-12-25 18:41:33,SarahMillican75,SarkySod6,0,0,5,"Well, that would be very handy. #joinin",,,#joinin,1077635476381753344,https://twitter.com/SarahMillican75/status/1077635476381753344
2018-12-25 18:40:36,SarahMillican75,RachMJ87,4,0,31,"Agreed. It’s a very helpful book, Sophie. #joinin",,,#joinin,1077635238107451393,https://twitter.com/SarahMillican75/status/1077635238107451393
2018-12-25 18:36:16,SarahMillican75,miss_acf,35,7,182,"Absolutely. You are the only person who eats them, I think. #joininhttps://twitter.com/miss_acf/status/1077633559022714880 …",,,#joininhttps,1077634144396627973,https://twitter.com/SarahMillican75/status/1077634144396627973
2018-12-25 18:34:01,SarahMillican75,Melvinodoom,0,0,7,"Merry Christmas, Sir.",,,,1077633578874404864,https://twitter.com/SarahMillican75/status/1077633578874404864
2018-12-25 18:33:14,SarahMillican75,LPC1231,0,0,0,Forgiven. So glad you had a good time. #joinin. Whereabouts (town not address) do you live and we can shout on here and see if anyone needs someone in IT. X,,,#joinin,1077633382799032320,https://twitter.com/SarahMillican75/status/1077633382799032320
2018-12-25 18:30:09,SarahMillican75,transkid0,6,13,292,You’re not alone. There’s so many people here happy to chat to you. Don’t forget you can ring @samaritans on 116123 if you need to. Xxx #joinin,,@samaritans,#joinin,1077632607586865152,https://twitter.com/SarahMillican75/status/1077632607586865152
2018-12-25 18:28:19,SarahMillican75,kitty2dakat,3,2,23,"I’m pretty sure the #joinin247 one is still going for that very reason. Not my doing, but a bunch of smashers.",,,#joinin247,1077632145949147141,https://twitter.com/SarahMillican75/status/1077632145949147141
2018-12-25 18:27:01,SarahMillican75,,339,52,3220,"Time now for chocolate, yes? #joininpic.twitter.com/uiMZHuupKX",,,#joininpic,1077631816184455168,https://twitter.com/SarahMillican75/status/1077631816184455168
2018-12-25 17:49:25,SarahMillican75,ekd1v07,13,0,51,"Agreed. We do ours with runner beans, lardons, onion and garlic. YUM. #joininpic.twitter.com/FLPV9V7FcL",,,#joininpic,1077622355583778816,https://twitter.com/SarahMillican75/status/1077622355583778816
2018-12-25 17:45:48,SarahMillican75,AmiraTharani,6,31,233,Joyous. #joininhttps://twitter.com/AmiraTharani/status/1077619706234896386 …,,,#joininhttps,1077621447571456002,https://twitter.com/SarahMillican75/status/1077621447571456002
2018-12-25 17:39:05,SarahMillican75,,37,4,255,Oh just missed the beginning of @bbcstrictly. BBC1 now if you fancy it. X,,@bbcstrictly,,1077619756692373504,https://twitter.com/SarahMillican75/status/1077619756692373504
2018-12-25 16:06:43,SarahMillican75,,94,57,1242,Reminder that Michael Caine’s best film A Muppet’s Christmas Carol is starting on @Channel4 right now. Get on it. #joinin,,@Channel4,#joinin,1077596509737283584,https://twitter.com/SarahMillican75/status/1077596509737283584
2018-12-25 15:56:21,SarahMillican75,jeanz04555810,0,0,1,Just look for @StandardIssueUK on @acast or @iTunes x,,@StandardIssueUK @acast @iTunes,,1077593900326535168,https://twitter.com/SarahMillican75/status/1077593900326535168
2018-12-25 15:55:06,SarahMillican75,,63,230,1802,A top up of love to all those using the #joinin hashtag. You are filling my heart and each others’ with joy. Remember to always include the hashtag #joinin and don’t wait for someone to chat to you. Just dive in and get chatting. X,,,#joinin #joinin,1077593587200724992,https://twitter.com/SarahMillican75/status/1077593587200724992
2018-12-25 15:45:31,SarahMillican75,StandardIssueUK,5,24,106,"If you need a laugh, here is our best of 2018 in conversation events. So many funny women enclosed. Enjoy. #joininhttps://twitter.com/StandardIssueUK/status/1077504409892999168 …",,,#joininhttps,1077591175861886976,https://twitter.com/SarahMillican75/status/1077591175861886976
