"","time","length","track","channel","note","notename","velocity","track_name","angle","radius","size"
"1",34000,946,2,0,62,"d'",110,"MELODY",1.05235097582823,62.037037037037,2.43950459877995
"2",35000,732,2,0,64,"e'",110,"MELODY",1.08330247511729,63.8888888888889,2.14591054295827
"3",36000,232,2,0,67,"g'",110,"MELODY",1.11425397440636,66.6666666666667,1.2080921584513
"4",36500,232,2,0,67,"g'",110,"MELODY",1.12972972405089,66.6666666666667,1.2080921584513
"5",37000,438,2,0,67,"g'",110,"MELODY",1.14520547369542,66.6666666666667,1.65994282012349
"6",37500,232,2,0,67,"g'",110,"MELODY",1.16068122333996,66.6666666666667,1.2080921584513
"7",37750,232,2,0,67,"g'",110,"MELODY",1.16841909816222,66.6666666666667,1.2080921584513
"8",38250,232,2,0,67,"g'",110,"MELODY",1.18389484780676,66.6666666666667,1.2080921584513
"9",38500,232,2,0,67,"g'",110,"MELODY",1.19163272262902,66.6666666666667,1.2080921584513
"10",39000,438,2,0,62,"d'",110,"MELODY",1.20710847227355,62.037037037037,1.65994282012349
"11",39500,438,2,0,64,"e'",110,"MELODY",1.22258422191809,63.8888888888889,1.65994282012349
"12",40000,232,2,0,67,"g'",110,"MELODY",1.23805997156262,66.6666666666667,1.2080921584513
"13",40500,232,2,0,67,"g'",110,"MELODY",1.25353572120715,66.6666666666667,1.2080921584513
"14",41000,438,2,0,67,"g'",110,"MELODY",1.26901147085169,66.6666666666667,1.65994282012349
"15",41500,232,2,0,67,"g'",110,"MELODY",1.28448722049622,66.6666666666667,1.2080921584513
"16",41750,232,2,0,67,"g'",110,"MELODY",1.29222509531848,66.6666666666667,1.2080921584513
"17",42250,232,2,0,67,"g'",110,"MELODY",1.30770084496302,66.6666666666667,1.2080921584513
"18",42500,232,2,0,67,"g'",110,"MELODY",1.31543871978528,66.6666666666667,1.2080921584513
"19",43000,482,2,0,62,"d'",110,"MELODY",1.33091446942982,62.037037037037,1.74132402523066
"20",43500,482,2,0,64,"e'",110,"MELODY",1.34639021907435,63.8888888888889,1.74132402523066
"21",44000,232,2,0,67,"g'",110,"MELODY",1.36186596871888,66.6666666666667,1.2080921584513
"22",44500,232,2,0,67,"g'",110,"MELODY",1.37734171836342,66.6666666666667,1.2080921584513
"23",45000,438,2,0,67,"g'",110,"MELODY",1.39281746800795,66.6666666666667,1.65994282012349
"24",45500,232,2,0,67,"g'",110,"MELODY",1.40829321765248,66.6666666666667,1.2080921584513
"25",45750,232,2,0,67,"g'",110,"MELODY",1.41603109247475,66.6666666666667,1.2080921584513
"26",46250,232,2,0,67,"g'",110,"MELODY",1.43150684211928,66.6666666666667,1.2080921584513
"27",46500,232,2,0,67,"g'",110,"MELODY",1.43924471694155,66.6666666666667,1.2080921584513
"28",47000,482,2,0,67,"g'",110,"MELODY",1.45472046658608,66.6666666666667,1.74132402523066
"29",47500,482,2,0,67,"g'",110,"MELODY",1.47019621623061,66.6666666666667,1.74132402523066
"30",48000,654,2,0,66,"f#'",110,"MELODY",1.48567196587514,65.7407407407407,2.02835957777433
"31",50000,946,2,0,62,"d'",110,"MELODY",1.54757496445328,62.037037037037,2.43950459877995
"32",51000,732,2,0,64,"e'",110,"MELODY",1.57852646374234,63.8888888888889,2.14591054295827
"33",52000,232,2,0,67,"g'",110,"MELODY",1.60947796303141,66.6666666666667,1.2080921584513
"34",52500,232,2,0,67,"g'",110,"MELODY",1.62495371267594,66.6666666666667,1.2080921584513
"35",53000,438,2,0,67,"g'",110,"MELODY",1.64042946232047,66.6666666666667,1.65994282012349
"36",53500,232,2,0,67,"g'",110,"MELODY",1.655905211965,66.6666666666667,1.2080921584513
"37",53750,232,2,0,67,"g'",110,"MELODY",1.66364308678727,66.6666666666667,1.2080921584513
"38",54250,232,2,0,67,"g'",110,"MELODY",1.6791188364318,66.6666666666667,1.2080921584513
"39",54500,232,2,0,67,"g'",110,"MELODY",1.68685671125407,66.6666666666667,1.2080921584513
"40",55000,438,2,0,62,"d'",110,"MELODY",1.7023324608986,62.037037037037,1.65994282012349
"41",55500,438,2,0,64,"e'",110,"MELODY",1.71780821054314,63.8888888888889,1.65994282012349
"42",56000,232,2,0,67,"g'",110,"MELODY",1.73328396018767,66.6666666666667,1.2080921584513
"43",56500,232,2,0,67,"g'",110,"MELODY",1.7487597098322,66.6666666666667,1.2080921584513
"44",57000,438,2,0,67,"g'",110,"MELODY",1.76423545947673,66.6666666666667,1.65994282012349
"45",57500,232,2,0,67,"g'",110,"MELODY",1.77971120912127,66.6666666666667,1.2080921584513
"46",57750,232,2,0,67,"g'",110,"MELODY",1.78744908394353,66.6666666666667,1.2080921584513
"47",58250,232,2,0,67,"g'",110,"MELODY",1.80292483358807,66.6666666666667,1.2080921584513
